T P Z_v Z_l W


T=223.15000
 52.00000	0.00000 100.00000 -9999.00000 3.74866	
 53.00000	0.00000 100.00000 -9999.00000 3.81855	
 54.00000	0.00000 100.00000 -9999.00000 3.88839	
 55.00000	0.00000 100.00000 -9999.00000 3.95818	
 56.00000	0.00000 100.00000 -9999.00000 4.02793	
 57.00000	0.00000 100.00000 -9999.00000 4.09763	
 58.00000	0.00000 100.00000 -9999.00000 4.16728	
 59.00000	0.00000 100.00000 -9999.00000 4.23689	
 60.00000	0.00000 100.00000 -9999.00000 4.30645	


T=373.15000
 1.00000	66.01191 33.98809 0.98469 0.15524	
 2.00000	63.57445 36.42555 0.97295 0.29338	
 3.00000	61.59283 38.40717 0.96266 0.42110	
 4.00000	59.81261 40.18739 0.95346 0.54055	
 5.00000	58.15036 41.84964 0.94520 0.65304	
 6.00000	56.56625 43.43375 0.93780 0.75949	
 7.00000	55.03762 44.96238 0.93120 0.86060	
 8.00000	53.55015 46.44985 0.92539 0.95691	
 9.00000	52.09408 47.90592 0.92034 1.04887	
 10.00000	50.66244 49.33756 0.91606 1.13685	
 11.00000	49.25000 50.75000 0.91253 1.22118	
 12.00000	47.85267 52.14733 0.90976 1.30213	
 13.00000	46.46714 53.53286 0.90774 1.37994	
 14.00000	45.09067 54.90933 0.90646 1.45481	
 15.00000	43.72088 56.27912 0.90591 1.52694	
 16.00000	42.35571 57.64429 0.90609 1.59647	
 17.00000	40.99326 59.00674 0.90698 1.66357	
 18.00000	39.63183 60.36817 0.90856 1.72835	
 19.00000	38.26985 61.73015 0.91081 1.79094	
 20.00000	36.90582 63.09418 0.91371 1.85143	
 21.00000	35.53835 64.46165 0.91725 1.90992	
 22.00000	34.16610 65.83390 0.92138 1.96650	
 23.00000	32.78780 67.21220 0.92609 2.02125	
 24.00000	31.40221 68.59779 0.93134 2.07422	
 25.00000	30.00817 69.99183 0.93712 2.12550	
 26.00000	28.60452 71.39548 0.94340 2.17514	
 27.00000	27.19016 72.80984 0.95015 2.22320	
 28.00000	25.76400 74.23600 0.95734 2.26972	
 29.00000	24.32496 75.67504 0.96496 2.31477	
 30.00000	22.87203 77.12797 0.97298 2.35837	
 31.00000	21.40415 78.59585 0.98137 2.40059	
 32.00000	19.92031 80.07969 0.99012 2.44144	
 33.00000	18.41949 81.58051 0.99920 2.48099	
 34.00000	16.90067 83.09933 1.00861 2.51925	
 35.00000	15.36284 84.63716 1.01832 2.55627	
 36.00000	13.80497 86.19503 1.02831 2.59208	
 37.00000	12.22602 87.77398 1.03858 2.62670	
 38.00000	10.62494 89.37506 1.04910 2.66017	
 39.00000	9.00066 90.99934 1.05987 2.69252	
 40.00000	7.35211 92.64789 1.07088 2.72377	
 41.00000	5.67814 94.32186 1.08211 2.75395	
 42.00000	3.97763 96.02237 1.09356 2.78308	
 43.00000	2.24938 97.75062 1.10521 2.81118	
 44.00000	0.49218 99.50782 1.11706 2.83829	
 45.00000	0.00000 100.00000 -9999.00000 2.89018	
